MS609-0001.xml	"Anno Domini MŒÁ CCŒÁ XLŒÁ quinto VI Kalendas Iunii. Arnaldus Garnerii testis iuratus dixit quod vidit in domo Petri de Sancto Andrea Bernardum de Sancto Andrea, fratrem dicti Petri, et socium eius, hereticos. Et vidit ibi cum eis dictum Petrum de Sancto Andrea et uxor dictiPetri. Et ipse testis adoravit ibi dictos hereticos, sed non vidit alios adorare. Et sunt VI anni vel circa. Et quando ipse testis exivitdomum invenit Willelmus de Rozergue intrantem ad dictos hereticos."	sunt VI anni vel circa	1239	domo Petri de Sancto Andrea	#home_of_Cap-de-Porc
MS609-0001.xml	"Item. Vidit in loco qui dicitur Oliver Bernardum de MarreVilla et socium eius, hereticos. Et vidit ibi cum dictis hereticis Guarnerium, patrem ipsius testis; Willelmum Vitalis; Willelmum Barbas; et Jordanetum del Mas; et alios de quibus non recolit. Et omnes et ipse testis adoraverunt ibi dictos hereticos. Et sunt VII annivel circa."	Et sunt VII annivel circa.	1238	loco qui dicitur Oliver	#Oliver_MSP
MS609-0001.xml	"Item. Vidit in domo Willelmi Vitalis Arnaldum Prader et socium eius, hereticos. Et vidit ibi cum eis Poncium Barrau; Jordanetumdel Mas; Jordanum de Quiders; et Willelmum Vitalis predictum; et uxor dicti Willelmi Vitalis. Et omnes et ipse testis adoraverunt ibi dictos hereticos. Et sunt VI anni vel circa."	Et sunt VI anni vel circa.	1239	domo Willelmi Vitalis	#home_of_Guilhem_Vidal
MS609-0001.xml	"Item. Vidit in domo Bernardi +Fabri +, filii de na Matheuz , Arnaldum Pradier et socium eius, hereticos.Et vidit ibi cum eis Poncium Barrau; Jordanum de Quiders; Jordanetum del Mas; Willelmum Vitalis; Bernardum Fabri et matrem dicti Bernardi. Et omnes et ipse testis adoraverunt ibi dictos hereticos. Et sunt VI anni vel circa."	Et sunt VI anni vel circa.	1239	"domo Bernardi +Fabri +, filii de na Matheuz ,"	#home_of_Bernard_Faure_de_Castilho_MSP-AU
MS609-0001.xml	Item. Vidit in domo Willelmide Canast-Brus Donatum et Petrum Willelmi et alios duos hereticos quorum nomina non recolit. Et vidit ibi cum eis dictum Willelmum de Canast; et Bernardum Ademari; Poncium Barrau. Et omnes et ipse testis adoraverunt ibi dicto hereticos. Et sunt VI anni vel circa.	Et sunt VI anni vel circa.	1239	in domo Willelmide Canast-Brus	#home_of_Guilhem_Canast-Brus
MS609-0002.xml	"Item. Anno et die quo supra. Willelmus de Rozeugue testis iuratus dixit quod ad instanciam Arnaldi Godalh ipse testis et Raimundus Guarnier duxerunt Willelmum Vitalis et socium eius, hereticos, de Porta de Mal Cosseil usque ad Puybusqua et tradiderunt dictos hereticos Petro Cap de Porc. Sed ipse testis non adoravit dictos hereticos nec vidit alios adorare. Et suntVI anni vel circa."	Et suntVI anni vel circa.	1239	Porta de Mal Cosseil usque ad Puybusqua	#journey
MS609-0002.xml	"Item. Vidit Willelmum Vitalis et socium eis hereticos in loco qui dicitur Lo Radel, et vidit ibi cum eis Jordanum deQuiders; Poncium Barrau; et Arnaldum Garnier; et Poncium, fratrem dicti Arnaldi; et Poncium Gauta; Guallardum Amelh; et Poncium Rainart; et plures alios de quibus non recolat. Et sunt VI anni vel circa."	Et sunt VI anni vel circa.	1239	Lo Radel	#Lo_Radel_MSP
MS609-0002.xml	"Item. Vidit in domo Petri Cap de Porc pluries B. Johannis, Petrum Fabri, hereticos. Et vidit ibi cum eis Raimundum den Amiel; Poncium Rainardi; Willelmum Amelh de Solha; Guaillardum Amelh; et pluries plures alios de quibus non recolit. Et omnes et ipse testis adoravit pluriesdictos hereticos. Et sunt VII anni vel circa."	Et sunt VII anni vel circa.	1238	in domo Petri Cap de Porc	#home_of_Cap-de-Porc
MS609-0002.xml	"Item. dix Vidit B. de Planis et socium eius, hereticos, in domo de Cap de Porc, et vidit ibi Arnaldum de Rozengue, patrem eiustestis, et ambo audierunt predicationem hereticorum et adoraverunt eos. Et sunt IIIIor anni. Et abiuravit heresim et iuravit, et cetera. Testes: predicti."				
MS609-0005.xml	"Item. Anno et die quo supra. Willelmus de Silva testis iuratus dixit quod vidit in domo Petrum Cap-de-Porc Poncium Bolvena et socium eius, hereticos. Et vidit ibi cum eis P. Bernardum mazeler et ambo adoraverunt ibi dictos hereticos. Et sunt X anni vel circa."	Et sunt X anni vel circa.	1235	in domo Petrum Cap-de-Porc	#home_of_Cap-de-Porc
